Kecamatan,Kambing,Domba,Babi,Kelinci,Tahun 
Susukan," 10,848 ", 68 , - , 992 ,2018
Purworejo Klampok," 3,219 ", 39 , 123 , 540 ,2018
Mandiraja," 7,160 ", 360 , - , 710 ,2018
Purwonegoro," 14,917 ", 136 , 59 , 628 ,2018
Bawang," 4,623 ", 788 , - , 812 ,2018
Banjarnegara," 4,847 ", 533 , 33 ," 1,978 ",2018
Pagedongan," 2,671 ", 163 , - , 301 ,2018
Sigaluh," 5,221 ", 347 , 50 , 983 ,2018
Madukara," 9,069 "," 1,840 ", - , 708 ,2018
Banjarmangu," 19,357 ", 683 , - ," 1,068 ",2018
Wanadadi, 702 , 29 , - , 240 ,2018
Rakit," 3,640 "," 1,061 ", - , 528 ,2018
Punggelan," 22,702 ", 718 , - ," 1,119 ",2018
Karangkobar," 26,815 "," 13,426 ", - , 130 ,2018
Pagentan," 21,881 "," 5,279 ", - , 846 ,2018
Pejawaran," 5,381 "," 9,237 ", - ," 4,064 ",2018
Batur, - ," 7,660 ", - , 404 ,2018
Wanayasa," 14,032 "," 8,350 ", - , 630 ,2018
Kalibening," 5,847 "," 5,209 ", - , 376 ,2018
Pandanarum," 6,232 ", 36 , - , 107 ,2018
Susukan," 9,665 ", 105 , - ," 1,171 ",2019
Purworejo Klampok," 3,239 ", 23 , 134 , 469 ,2019
Mandiraja," 8,070 ", 421 , 12 , 746 ,2019
Purwonegoro," 14,917 ", 136 , 59 , 628 ,2019
Bawang," 4,715 ", 876 , - , 838 ,2019
Banjarnegara," 4,783 ", 520 , - ," 2,131 ",2019
Pagedongan," 1,395 ", 148 , - , 344 ,2019
Sigaluh," 5,221 ", 347 , 50 , 983 ,2019
Madukara," 9,273 "," 1,851 ", 10 ," 1,287 ",2019
Banjarmangu," 17,735 ", 526 , - , 943 ,2019
Wanadadi, 646 , 51 , - , 142 ,2019
Rakit," 3,135 ", 943 , - , 534 ,2019
Punggelan," 22,165 ", 853 , - , 575 ,2019
Karangkobar," 26,815 "," 13,426 ", - , 130 ,2019
Pagentan," 21,641 "," 5,306 ", - , 872 ,2019
Pejawaran," 8,295 "," 17,922 ", - ," 6,614 ",2019
Batur, - ," 4,731 ", - , - ,2019
Wanayasa," 12,529 "," 12,342 ", - , 536 ,2019
Kalibening," 7,266 "," 3,469 ", - , 348 ,2019
Pandanarum," 9,527 ", 5 , - , 580 ,2019
Susukan," 10,018 ", 115 , - ," 1,177 ",2020
Purworejo Klampok," 3,365 ", 26 , 134 , 469 ,2020
Mandiraja," 8,034 ", 485 , 11 , 859 ,2020
Purwonegoro," 15,499 ", 152 , 59 , 628 ,2020
Bawang," 4,899 ", 976 , - , 838 ,2020
Banjarnegara," 4,936 ", 539 , - ," 3,386 ",2020
Pagedongan," 1,379 ", 226 , - , 460 ,2020
Sigaluh," 5,425 ", 387 , 50 , 983 ,2020
Madukara," 9,645 "," 2,062 ", 10 ," 1,287 ",2020
Banjarmangu," 17,245 ", 583 , - ," 1,041 ",2020
Wanadadi, 671 , 57 , - , 142 ,2020
Rakit," 3,101 "," 1,056 ", - , 638 ,2020
Punggelan," 23,029 ", 950 , - , 575 ,2020
Karangkobar," 27,861 "," 14,957 ", - , 130 ,2020
Pagentan," 21,821 "," 5,154 ", - , 924 ,2020
Pejawaran," 8,619 "," 19,966 ", - ," 6,614 ",2020
Batur, - ," 5,271 ", - , - ,2020
Wanayasa," 12,301 "," 11,874 ", - , 571 ,2020
Kalibening," 9,457 "," 3,566 ", - , 184 ,2020
Pandanarum," 9,874 ", - , - , 437 ,2020
Susukan," 10,633 ", 118 , - ," 1,186 ",2021
Purworejo Klampok," 3,572 ", 27 , 135 , 473 ,2021
Mandiraja," 8,527 ", 497 , 11 , 866 ,2021
Purwonegoro," 16,451 ", 156 , 59 , 633 ,2021
Bawang," 5,200 "," 1,000 ", - , 845 ,2021
Banjarnegara," 5,239 ", 552 , - ," 3,413 ",2021
Pagedongan," 1,464 ", 232 , - , 464 ,2021
Sigaluh," 5,758 ", 397 , 50 , 991 ,2021
Madukara," 10,227 "," 2,114 ", 10 ," 1,297 ",2021
Banjarmangu," 18,304 ", 598 , - ," 1,049 ",2021
Wanadadi, 712 , 58 , - , 143 ,2021
Rakit," 3,291 "," 1,082 ", - , 643 ,2021
Punggelan," 24,443 ", 974 , - , 579 ,2021
Karangkobar," 29,572 "," 15,331 ", - , 131 ,2021
Pagentan," 23,161 "," 5,283 ", - , 931 ,2021
Pejawaran," 9,148 "," 20,466 ", - ," 6,666 ",2021
Batur, - ," 5,403 ", - , - ,2021
Wanayasa," 13,056 "," 12,171 ", - , 575 ,2021
Kalibening," 10,038 "," 3,655 ", - , 185 ,2021
Pandanarum," 10,480 ", - , - , 440 ,2021
Susukan," 10,688 ", 141 , - ," 1,189 ",2022
Purworejo Klampok," 3,626 ", 37 , 133 , 452 ,2022
Mandiraja," 8,575 ", 519 , 10 , 847 ,2022
Purwonegoro," 16,549 ", 166 , 58 , 622 ,2022
Bawang," 5,243 "," 1,103 ", - , 849 ,2022
Banjarnegara," 5,274 ", 587 , - ," 3,404 ",2022
Pagedongan," 1,511 ", 253 , - , 467 ,2022
Sigaluh," 5,787 ", 414 , 49 , 995 ,2022
Madukara," 10,303 "," 2,190 ", 9 ," 1,286 ",2022
Banjarmangu," 18,397 ", 620 , - ," 1,029 ",2022
Wanadadi, 792 , 68 , - , 150 ,2022
Rakit," 3,351 "," 1,160 ", - , 649 ,2022
Punggelan," 24,531 "," 1,041 ", - , 581 ,2022
Karangkobar," 29,664 "," 15,422 ", - , 135 ,2022
Pagentan," 23,237 "," 5,303 ", - , 932 ,2022
Pejawaran," 9,229 "," 20,487 ", - ," 6,602 ",2022
Batur, - ," 5,428 ", - , - ,2022
Wanayasa," 13,072 "," 12,212 ", - , 583 ,2022
Kalibening," 10,059 "," 3,678 ", - , 194 ,2022
Pandanarum," 10,501 ", - , - , 447 ,2022
Susukan," 10,923 ", 143 , - ," 1,148 ",2023
Purworejo Klampok," 3,706 ", 37 , 127 , 437 ,2023
Mandiraja," 8,764 ", 525 , 9 , 818 ,2023
Purwonegoro," 16,913 ", 168 , 56 , 601 ,2023
Bawang," 5,358 "," 1,116 ", - , 820 ,2023
Banjarnegara," 5,390 ", 594 , - ," 3,288 ",2023
Pagedongan," 1,544 ", 256 , - , 451 ,2023
Sigaluh," 5,914 ", 419 , 47 , 961 ,2023
Madukara," 10,530 "," 2,215 ", 9 ," 1,242 ",2023
Banjarmangu," 18,802 ", 627 , - , 994 ,2023
Wanadadi, 809 , 69 , - , 145 ,2023
Rakit," 3,425 "," 1,173 ", - , 627 ,2023
Punggelan," 25,070 "," 1,053 ", - , 561 ,2023
Karangkobar," 30,317 "," 15,601 ", - , 130 ,2023
Pagentan," 23,748 "," 5,365 ", - , 900 ,2023
Pejawaran," 9,432 "," 20,725 ", - ," 6,376 ",2023
Batur, - ," 5,491 ", - , - ,2023
Wanayasa," 13,360 "," 12,354 ", - , 563 ,2023
Kalibening," 10,280 "," 3,722 ", - , 187 ,2023
Pandanarum," 10,732 ", - , - , 432 ,2023
Susukan," 13,119 ", 331 , - , 497 ,2024
Purworejo Klampok," 4,853 ", 987 , 32 , 856 ,2024
Mandiraja," 9,324 "," 1,456 ", 14 ," 1,272 ",2024
Purwonegoro," 18,165 "," 1,426 ", - ," 1,055 ",2024
Bawang," 8,283 "," 3,007 ", 3 ," 1,355 ",2024
Banjarnegara," 3,453 "," 3,139 ", - , 341 ,2024
Pagedongan," 9,393 ", 884 , - , 474 ,2024
Sigaluh," 5,447 "," 2,332 ", - , 863 ,2024
Madukara," 5,178 "," 1,073 ", - ," 1,043 ",2024
Banjarmangu," 9,029 "," 1,092 ", - , 580 ,2024
Wanadadi," 2,980 "," 1,964 ", - , 332 ,2024
Rakit," 6,120 "," 2,880 ", - , 379 ,2024
Punggelan," 24,644 "," 2,589 ", 20 , 483 ,2024
Karangkobar," 12,933 ", 933 , - , 582 ,2024
Pagentan," 17,874 "," 3,310 ", - , 542 ,2024
Pejawaran," 11,501 "," 10,057 ", - , 433 ,2024
Batur, 996 ," 6,327 ", - , 29 ,2024
Wanayasa," 18,787 "," 2,952 ", - , 395 ,2024
Kalibening," 14,599 "," 4,974 ", - , 795 ,2024
Pandanarum," 8,940 ", 558 , - , 55 ,2024
