Kecamatan,Kulit Sapi/Kerbau (lembar),Kulit Kambing/Domba (lembar),Susu Sapi (liter),Tahun 
Susukan, 90 , 666 , - ,2018
Purworejo Klampok, 93 , 378 , - ,2018
Mandiraja, 132 , 637 , - ,2018
Purwonegoro, 250 , 609 , - ,2018
Bawang, 269 , 529 , - ,2018
Banjarnegara," 3,564 ", 451 , - ,2018
Pagedongan, 60 , 380 , - ,2018
Sigaluh, 136 , 352 , - ,2018
Madukara, 183 , 565 , - ,2018
Banjarmangu, 280 , 680 , - ,2018
Wanadadi, 313 , 167 ," 46,280 ",2018
Rakit, 159 , 331 , - ,2018
Punggelan, 268 ," 1,184 ", - ,2018
Karangkobar, 124 ," 1,399 ", - ,2018
Pagentan, 227 , 924 , - ,2018
Pejawaran, 385 , 481 , - ,2018
Batur, 408 , 627 , - ,2018
Wanayasa," 1,114 ", 962 , - ,2018
Kalibening, 244 , 959 , - ,2018
Pandanarum, 129 , 608 , - ,2018
Susukan, - , - , - ,2019
Purworejo Klampok, - , - , - ,2019
Mandiraja, - , - , - ,2019
Purwonegoro, - , - , - ,2019
Bawang, - , - , - ,2019
Banjarnegara, - , - , - ,2019
Pagedongan, - , - , - ,2019
Sigaluh, - , - , - ,2019
Madukara, - , - , - ,2019
Banjarmangu, - , - , - ,2019
Wanadadi, - , - ," 50,400 ",2019
Rakit, - , - , - ,2019
Punggelan, - , - , - ,2019
Karangkobar, - , - , - ,2019
Pagentan, - , - , - ,2019
Pejawaran, - , - , - ,2019
Batur, - , - , - ,2019
Wanayasa, - , - , - ,2019
Kalibening, - , - , - ,2019
Pandanarum, - , - , - ,2019
Susukan, 98 , 721 , - ,2020
Purworejo Klampok, 75 , 298 , - ,2020
Mandiraja, 181 , 896 , - ,2020
Purwonegoro, 326 , 565 , - ,2020
Bawang, 297 , 444 , - ,2020
Banjarnegara," 3,174 ", 476 , - ,2020
Pagedongan, 73 , 324 , - ,2020
Sigaluh, 166 , 298 , - ,2020
Madukara, 163 , 507 , - ,2020
Banjarmangu, 307 , 654 , - ,2020
Wanadadi, 321 , 214 ," 42,700 ",2020
Rakit, 181 , 269 , - ,2020
Punggelan, 391 ," 1,386 ", - ,2020
Karangkobar, 118 ," 1,247 ", - ,2020
Pagentan, 252 , 829 , - ,2020
Pejawaran, 415 , 643 , - ,2020
Batur, 449 , 511 , - ,2020
Wanayasa," 1,170 ", 930 , - ,2020
Kalibening, 219 , 882 , - ,2020
Pandanarum, 166 , 687 , - ,2020
Susukan, 112 , 756 , - ,2021
Purworejo Klampok, 86 , 313 , - ,2021
Mandiraja, 207 , 940 , - ,2021
Purwonegoro, 374 , 593 , - ,2021
Bawang, 340 , 466 , - ,2021
Banjarnegara," 3,636 ", 499 ," 18,998 ",2021
Pagedongan, 84 , 340 , - ,2021
Sigaluh, 190 , 313 , - ,2021
Madukara, 187 , 532 , - ,2021
Banjarmangu, 352 , 686 , - ,2021
Wanadadi, 368 , 225 ," 29,040 ",2021
Rakit, 207 , 282 , - ,2021
Punggelan, 448 ," 1,454 ", - ,2021
Karangkobar, 135 ," 1,308 ", - ,2021
Pagentan, 289 , 870 , - ,2021
Pejawaran, 476 , 675 , - ,2021
Batur, 514 , 536 , - ,2021
Wanayasa," 1,340 ", 976 , - ,2021
Kalibening, 251 , 925 , - ,2021
Pandanarum, 190 , 721 , - ,2021
Susukan, 91 , 766 , - ,2022
Purworejo Klampok, 64 , 326 , - ,2022
Mandiraja, 172 , 955 , - ,2022
Purwonegoro, 353 , 601 , - ,2022
Bawang, 323 , 476 , - ,2022
Banjarnegara," 3,605 ", 514 , - ,2022
Pagedongan, 63 , 358 , - ,2022
Sigaluh, 166 , 326 , - ,2022
Madukara, 165 , 542 , - ,2022
Banjarmangu, 321 , 699 , - ,2022
Wanadadi, 353 , 240 ," 18,865 ",2022
Rakit, 186 , 290 , - ,2022
Punggelan, 432 ," 1,467 ", - ,2022
Karangkobar, 115 ," 1,323 ", - ,2022
Pagentan, 270 , 883 , - ,2022
Pejawaran, 458 , 686 , - ,2022
Batur, 501 , 551 , - ,2022
Wanayasa," 1,312 ", 994 , - ,2022
Kalibening, 234 , 935 , - ,2022
Pandanarum, 171 , 734 , - ,2022
Susukan, 93 , 729 , - ,2023
Purworejo Klampok, 65 , 310 , - ,2023
Mandiraja, 176 , 909 , - ,2023
Purwonegoro, 360 , 572 , - ,2023
Bawang, 330 , 453 , - ,2023
Banjarnegara," 3,682 ", 489 , - ,2023
Pagedongan, 64 , 341 , - ,2023
Sigaluh, 170 , 310 , - ,2023
Madukara, 169 , 516 , - ,2023
Banjarmangu, 328 , 665 , - ,2023
Wanadadi, 361 , 228 ," 27,440 ",2023
Rakit, 190 , 276 , - ,2023
Punggelan, 441 ," 1,396 ", - ,2023
Karangkobar, 117 ," 1,259 "," 7,740 ",2023
Pagentan, 276 , 840 , - ,2023
Pejawaran, 468 , 653 , - ,2023
Batur, 512 , 524 , - ,2023
Wanayasa," 1,340 ", 946 , - ,2023
Kalibening, 239 , 890 , - ,2023
Pandanarum, 175 , 699 , - ,2023
Susukan, 50 , 301 , - ,2024
Purworejo Klampok, 30 , 129 , - ,2024
Mandiraja, 80 , 375 , - ,2024
Purwonegoro, 161 , 236 , - ,2024
Bawang, 149 , 188 , - ,2024
Banjarnegara," 1,654 ", 202 , - ,2024
Pagedongan, 29 , 140 , - ,2024
Sigaluh, 76 , 129 , - ,2024
Madukara, 75 , 213 , - ,2024
Banjarmangu, 147 , 274 , - ,2024
Wanadadi, 162 , 93 ," 10,267 ",2024
Rakit, 86 , 114 , - ,2024
Punggelan, 198 , 576 , - ,2024
Karangkobar, 53 , 520 , - ,2024
Pagentan, 124 , 345 , - ,2024
Pejawaran, 210 , 269 , - ,2024
Batur, 228 , 216 , - ,2024
Wanayasa, 592 , 390 , - ,2024
Kalibening, 109 , 367 , - ,2024
Pandanarum, 81 , 298 , - ,2024
