Kecamatan ,Kolam Pembesaran Ikan Luas (Ha),Kolam Pembesaran Ikan Produksi (Kg),Jaring Karamba Apung Luas (Ha),Jaring Karamba Apung Produksi (Kg),Mina Padi Penyelang Luas (Ha),Mina Padi Penyelang Produksi (Kg),Mina Padi Tumpang sari Luas (Ha),Mina Padi Tumpang sari Produksi (Kg),Tahun 
Susukan, 3 ," 491,592 ", - , - , - , - , 5 ," 6,500 ",2018
Purwareja Klampok, 24 ," 1,310,624 ", - , - , - , - , - , - ,2018
Mandiraja, 47 ," 3,507,577 ", - , - , - , - , 13 ," 12,350 ",2018
Purwanegara, 285 ," 5,817,206 ", - , - , - , - , 44 ," 55,510 ",2018
Bawang, 73 ," 5,348,025 ", 1 ," 84,854 ", - , - , 14 ," 18,200 ",2018
Banjarnegara, 29 ," 1,812,263 ", - , - , - , - , 1 , 650 ,2018
Pagedongan, 19 ," 1,685,248 ", - , - , - , - , 1 , 650 ,2018
Sigaluh, 11 ," 374,276 ", - , - , - , - , - , - ,2018
Madukara, 36 ," 1,440,916 ", - , - , - , - , - , - ,2018
Banjarmangu, 20 ," 912,318 ", - , - , - , - , 1 ," 1,300 ",2018
Wanadadi, 46 ," 2,122,500 ", 4 ," 164,388 ", - , - , - , - ,2018
Rakit, 80 ," 2,057,162 ", - , - , - , - , 22 ," 28,600 ",2018
Punggelan, 49 ," 1,326,419 ", - , - , - , - , - , - ,2018
Karangkobar, 11 ," 493,971 ", - , - , - , - , - , - ,2018
Pagentan, 12 ," 179,909 ", - , - , - , - , - , - ,2018
Pejawaran, 11 ," 268,673 ", - , - , - , - , - , - ,2018
Batur, 0 ," 27,087 ", - , - , - , - , - , - ,2018
Wanayasa, 24 ," 360,915 ", - , - , - , - , - , - ,2018
Kalibening, 11 ," 135,252 ", - , - , - , - , - , - ,2018
Pandanarum, 2 ," 78,699 ", - , - , - , - , - , - ,2018
Susukan, 3 ," 515,603 ", - , - , - , - , 5 ," 7,000 ",2019
Purwareja Klampok, 24 ," 1,374,642 ", - , - , - , - , - , - ,2019
Mandiraja, 47 ," 3,678,905 ", - , - , - ," 2,783,897 ", 13 ," 17,500 ",2019
Purwanegara, 285 ," 6,101,349 ", - , - , - ," 6,054,977 ", 44 ," 61,180 ",2019
Bawang, 73 ," 5,609,251 ", 1 ," 79,382 ", - ," 1,203,041 ", 14 ," 19,600 ",2019
Banjarnegara, 29 ," 1,900,784 ", - , - , - , - , - , - ,2019
Pagedongan, 19 ," 1,767,564 ", - , - , - , - , - , - ,2019
Sigaluh, 11 ," 392,557 ", - , - , - , - , - , - ,2019
Madukara, 36 ," 1,511,298 ", - , - , - , - , - , - ,2019
Banjarmangu, 20 ," 956,880 ", - , - , - , - , - , - ,2019
Wanadadi, 46 ," 2,226,174 ", 4 ," 153,789 ", - , - , - , - ,2019
Rakit, 80 ," 2,157,645 ", - , - , - ," 1,212,984 ", 20 ," 28,000 ",2019
Punggelan, 49 ," 1,391,208 ", - , - , - , - , - , - ,2019
Karangkobar, 11 ," 518,099 ", - , - , - , - , - , - ,2019
Pagentan, 12 ," 188,696 ", - , - , - , - , - , - ,2019
Pejawaran, 11 ," 281,797 ", - , - , - , - , - , - ,2019
Batur, 0 ," 28,410 ", - , - , - , - , - , - ,2019
Wanayasa, 24 ," 378,544 ", - , - , - , - , - , - ,2019
Kalibening, 11 ," 141,858 ", - , - , - , - , - , - ,2019
Pandanarum, 2 ," 82,543 ", - , - , - , - , - , - ,2019
Susukan, 3 ," 140,509 ", - , - , - , - , - , - ,2020
Purwareja Klampok, 24 ," 1,038,543 ", - , - , - , - , - , - ,2020
Mandiraja, 47 ," 2,053,086 ", - , - , - , - , 13 ," 16,299 ",2020
Purwanegara, 285 ," 12,421,932 ", - , - , - , - , 44 ," 55,795 ",2020
Bawang, 73 ," 3,186,319 ", 1 ," 33,794 ", - , - , 13 ," 14,030 ",2020
Banjarnegara, 29 ," 1,278,106 ", - , - , - , - , - , - ,2020
Pagedongan, 19 ," 832,580 ", - , - , - , - , - , - ,2020
Sigaluh, 11 ," 489,599 ", - , - , - , - , - , - ,2020
Madukara, 36 ," 1,579,196 ", - , - , - , - , - , - ,2020
Banjarmangu, 20 ," 862,252 ", - , - , - , - , - , - ,2020
Wanadadi, 46 ," 2,026,904 ", 4 ," 208,958 ", - , - , - , - ,2020
Rakit, 80 ," 3,510,973 ", - , - , - , - , 5 ," 1,000 ",2020
Punggelan, 49 ," 2,129,449 ", - , - , - , - , - , - ,2020
Karangkobar, 11 ," 471,272 ", - , - , - , - , - , - ,2020
Pagentan, 12 ," 514,035 ", - , - , - , - , - , - ,2020
Pejawaran, 11 ," 466,908 ", - , - , - , - , - , - ,2020
Batur, 0 ," 10,036 ", - , - , - , - , - , - ,2020
Wanayasa, 24 ," 1,053,816 ", - , - , - , - , - , - ,2020
Kalibening, 11 ," 483,926 ", - , - , - , - , - , - ,2020
Pandanarum, 2 ," 97,309 ", - , - , - , - , - , - ,2020
Susukan, 3 ," 153,251 ", - , - , - , - , - , - ,2021
Purwareja Klampok, 24 ," 1,132,728 ", - , - , - , - , - , - ,2021
Mandiraja, 47 ," 2,239,279 ", - , - , - , - , 13 ," 16,299 ",2021
Purwanegara, 285 ," 13,548,472 ", - , - , - , - , 44 ," 55,795 ",2021
Bawang, 73 ," 3,475,285 ", 0 ," 25,383 ", - , - , 13 ," 14,030 ",2021
Banjarnegara, 29 ," 1,394,017 ", - , - , - , - , - , - ,2021
Pagedongan, 19 ," 908,086 ", - , - , - , - , - , - ,2021
Sigaluh, 11 ," 534,000 ", - , - , - , - , - , - ,2021
Madukara, 36 ," 1,722,413 ", - , - , - , - , - , - ,2021
Banjarmangu, 20 ," 940,450 ", - , - , - , - , - , - ,2021
Wanadadi, 46 ," 2,210,723 ", 6 ," 378,024 ", - , - , - , - ,2021
Rakit, 80 ," 3,829,382 ", - , - , - , - , 5 ," 1,000 ",2021
Punggelan, 49 ," 2,322,568 ", - , - , - , - , - , - ,2021
Karangkobar, 11 ," 514,011 ", - , - , - , - , - , - ,2021
Pagentan, 12 ," 560,653 ", - , - , - , - , - , - ,2021
Pejawaran, 11 ," 509,252 ", - , - , - , - , - , - ,2021
Batur, 0 ," 10,947 ", - , - , - , - , - , - ,2021
Wanayasa, 24 ," 1,149,386 ", - , - , - , - , - , - ,2021
Kalibening, 11 ," 527,813 ", - , - , - , - , - , - ,2021
Pandanarum, 2 ," 106,134 ", - , - , - , - , - , - ,2021
Susukan, 3 ," 164,330 ", - , - , - , - , - , - ,2022
Purwareja Klampok, 24 ," 1,214,614 ", - , - , - , - , - , - ,2022
Mandiraja, 47 ," 2,401,160 ", - , - , - , - , 18 ," 27,390 ",2022
Purwanegara, 285 ," 14,527,908 ", - , - , - , - , 4 ," 17,909 ",2022
Bawang, 73 ," 3,726,518 ", 0 ," 8,345 ", - , - , - , - ,2022
Banjarnegara, 29 ," 1,494,792 ", - , - , - , - , - , - ,2022
Pagedongan, 19 ," 973,733 ", - , - , - , - , - , - ,2022
Sigaluh, 11 ," 572,604 ", - , - , - , - , - , - ,2022
Madukara, 36 ," 1,846,928 ", - , - , - , - , - , - ,2022
Banjarmangu, 20 ," 1,008,436 ", - , - , - , - , - , - ,2022
Wanadadi, 46 ," 2,370,539 ", 6 ," 345,643 ", - , - , - , - ,2022
Rakit, 80 ," 4,106,212 ", - , - , - , - , - , - ,2022
Punggelan, 49 ," 2,490,469 ", - , - , - , - , - , - ,2022
Karangkobar, 11 ," 551,169 ", - , - , - , - , - , - ,2022
Pagentan, 12 ," 601,183 ", - , - , - , - , - , - ,2022
Pejawaran, 11 ," 546,066 ", - , - , - , - , - , - ,2022
Batur, 0 ," 11,738 ", - , - , - , - , - , - ,2022
Wanayasa, 24 ," 1,232,476 ", - , - , - , - , - , - ,2022
Kalibening, 11 ," 565,969 ", - , - , - , - , - , - ,2022
Pandanarum, 2 ," 113,806 ", - , - , - , - , - , - ,2022
Susukan, 3 ," 165,443 ", - , - , - , - , - , - ,2023
Purwareja Klampok, 24 ," 1,222,839 ", - , - , - , - , - , - ,2023
Mandiraja, 47 ," 2,417,419 ", - , - , - , - , 18 ," 19,292 ",2023
Purwanegara, 285 ," 14,626,286 ", - , - , - , - , 4 ," 3,858 ",2023
Bawang, 73 ," 3,751,752 ", 0 ," 9,765 ", - , - , - , - ,2023
Banjarnegara, 29 ," 1,504,914 ", - , - , - , - , - , - ,2023
Pagedongan, 19 ," 980,326 ", - , - , - , - , - , - ,2023
Sigaluh, 11 ," 576,481 ", - , - , - , - , - , - ,2023
Madukara, 36 ," 1,859,435 ", - , - , - , - , - , - ,2023
Banjarmangu, 20 ," 1,015,265 ", - , - , - , - , - , - ,2023
Wanadadi, 46 ," 2,386,591 ", 6 ," 404,462 ", - , - , - , - ,2023
Rakit, 80 ," 4,134,018 ", - , - , - , - , - , - ,2023
Punggelan, 49 ," 2,507,334 ", - , - , - , - , - , - ,2023
Karangkobar, 11 ," 554,902 ", - , - , - , - , - , - ,2023
Pagentan, 12 ," 605,254 ", - , - , - , - , - , - ,2023
Pejawaran, 11 ," 549,764 ", - , - , - , - , - , - ,2023
Batur, 0 ," 11,817 ", - , - , - , - , - , - ,2023
Wanayasa, 24 ," 1,240,822 ", - , - , - , - , - , - ,2023
Kalibening, 11 ," 569,802 ", - , - , - , - , - , - ,2023
Pandanarum, 2 ," 114,577 ", - , - , - , - , - , - ,2023
Susukan, 3 ," 164,285 ", - , - , - , - , - , - ,2024
Purwareja Klampok, 24 ," 1,214,282 ", - , - , - , - , - , - ,2024
Mandiraja, 47 ," 2,400,504 ", - , - , - , - , 18 ," 9,083 ",2024
Purwanegara, 285 ," 14,523,941 ", - , - , - , - , 4 ," 1,817 ",2024
Bawang, 73 ," 3,725,500 ", 0 ," 9,055 ", - , - , - , - ,2024
Banjarnegara, 29 ," 1,494,384 ", - , - , - , - , - , - ,2024
Pagedongan, 19 ," 973,467 ", - , - , - , - , - , - ,2024
Sigaluh, 11 ," 572,447 ", - , - , - , - , - , - ,2024
Madukara, 36 ," 1,846,424 ", - , - , - , - , - , - ,2024
Banjarmangu, 20 ," 1,008,161 ", - , - , - , - , - , - ,2024
Wanadadi, 46 ," 2,369,892 ", 6 ," 375,033 ", - , - , - , - ,2024
Rakit, 80 ," 4,105,091 ", - , - , - , - , - , - ,2024
Punggelan, 49 ," 2,489,789 ", - , - , - , - , - , - ,2024
Karangkobar, 11 ," 551,019 ", - , - , - , - , - , - ,2024
Pagentan, 12 ," 601,019 ", - , - , - , - , - , - ,2024
Pejawaran, 11 ," 545,917 ", - , - , - , - , - , - ,2024
Batur, 0 ," 11,735 ", - , - , - , - , - , - ,2024
Wanayasa, 24 ," 1,232,140 ", - , - , - , - , - , - ,2024
Kalibening, 11 ," 565,815 ", - , - , - , - , - , - ,2024
Pandanarum, 2 ," 113,775 ", - , - , - , - , - , - ,2024
