Kecamatan,Luas Kolam Pembenihan Ikan (Ha),Produksi Kolam Pembenihan Ikan (Ekor),Luas Kolam Balai Benih Ikan (Ha),Produksi Kolam Balai Benih Ikan (Ekor),Tahun
Susukan, 2 ," 23,351,209 ", - , - ,2018
Purwareja Klampok, 0 ," 25,391,606 ", - , - ,2018
Mandiraja, 6 ," 419,188,214 ", - , - ,2018
Purwanegara, 22 ," 178,648,087 ", - , - ,2018
Bawang, 7 ," 428,256,645 ", 2 ," 5,620,000 ",2018
Banjarnegara, 3 ," 141,920,942 ", - , - ,2018
Pagedongan, 2 ," 70,733,760 ", - , - ,2018
Sigaluh, 1 ," 14,509,489 ", - , - ,2018
Madukara, 1 ," 17,910,151 ", - , - ,2018
Banjarmangu, 0 ," 19,497,126 ", - , - ,2018
Wanadadi, 4 ," 77,761,794 ", - , - ,2018
Rakit, 20 ," 840,870,246 ", - , - ,2018
Punggelan, 0 ," 2,493,818 ", - , - ,2018
Karangkobar, 0 ," 1,586,975 ", - , - ,2018
Pagentan, 0 ," 2,040,397 ", - , - ,2018
Pejawaran, 1 ," 1,813,686 ", - , - ,2018
Batur, - , - , - , - ,2018
Wanayasa, 0 ," 453,422 ", - , - ,2018
Kalibening, 0 ," 680,132 ", - , - ,2018
Pandanarum, - , - , - , - ,2018
Susukan, 2 ," 21,810,555 ", - , - ,2019
Purwareja Klampok, 0 ," 23,716,332 ", - , - ,2019
Mandiraja, 6 ," 391,531,223 ", - , - ,2019
Purwanegara, 22 ," 166,861,332 ", - , - ,2019
Bawang, 7 ," 400,001,341 ", 2 ," 6,595,000 ",2019
Banjarnegara, 3 ," 132,557,353 ", - , - ,2019
Pagedongan, 2 ," 66,066,924 ", - , - ,2019
Sigaluh, 1 ," 13,552,189 ", - , - ,2019
Madukara, 1 ," 16,728,484 ", - , - ,2019
Banjarmangu, 0 ," 18,210,755 ", - , - ,2019
Wanadadi, 4 ," 72,631,265 ", - , - ,2019
Rakit, 20 ," 785,391,729 ", - , - ,2019
Punggelan, 0 ," 2,329,283 ", - , - ,2019
Karangkobar, 0 ," 1,482,271 ", - , - ,2019
Pagentan, 0 ," 1,905,777 ", - , - ,2019
Pejawaran, 1 ," 1,694,024 ", - , - ,2019
Batur, - , - , - , - ,2019
Wanayasa, 0 ," 423,506 ", - , - ,2019
Kalibening, 0 ," 635,259 ", - , - ,2019
Pandanarum, - , - , - , - ,2019
Susukan, 2 ," 55,953,873 ", - , - ,2020
Purwareja Klampok, 0 ," 7,752,645 ", - , - ,2020
Mandiraja, 6 ," 196,849,769 ", - , - ,2020
Purwanegara, 22 ," 729,759,845 ", - , - ,2020
Bawang, 7 ," 235,275,922 ", 2 ," 7,225,000 ",2020
Banjarnegara, 3 ," 88,986,882 ", - , - ,2020
Pagedongan, 2 ," 66,740,161 ", - , - ,2020
Sigaluh, 1 ," 39,774,440 ", - , - ,2020
Madukara, 1 ," 20,224,291 ", - , - ,2020
Banjarmangu, 0 ," 14,831,147 ", - , - ,2020
Wanadadi, 4 ," 149,322,684 ", - , - ,2020
Rakit, 20 ," 660,660,183 ", - , - ,2020
Punggelan, 0 ," 10,786,289 ", - , - ,2020
Karangkobar, 0 ," 6,741,430 ", - , - ,2020
Pagentan, 0 ," 8,426,788 ", - , - ,2020
Pejawaran, 1 ," 17,864,791 ", - , - ,2020
Batur, - , - , - , - ,2020
Wanayasa, 0 ," 6,741,430 ", - , - ,2020
Kalibening, 0 ," 6,741,430 ", - , - ,2020
Pandanarum, - , - , - , - ,2020
Susukan, 2 ," 60,679,346 ", - , - ,2021
Purwareja Klampok, 0 ," 8,407,379 ", - , - ,2021
Mandiraja, 6 ," 213,474,326 ", - , - ,2021
Purwanegara, 22 ," 791,390,268 ", - , - ,2021
Bawang, 7 ," 255,145,685 ", 1 ," 6,000,000 ",2021
Banjarnegara, 3 ," 96,502,093 ", - , - ,2021
Pagedongan, 2 ," 72,376,570 ", - , - ,2021
Sigaluh, 1 ," 43,133,511 ", - , - ,2021
Madukara, 1 ," 21,932,294 ", - , - ,2021
Banjarmangu, 0 ," 16,083,682 ", - , - ,2021
Wanadadi, 4 ," 161,933,436 ", - , - ,2021
Rakit, 20 ," 716,454,931 ", - , - ,2021
Punggelan, 0 ," 11,697,223 ", - , - ,2021
Karangkobar, 0 ," 7,310,765 ", - , - ,2021
Pagentan, 0 ," 9,138,456 ", - , - ,2021
Pejawaran, 1 ," 19,373,526 ", - , - ,2021
Batur, - , - , - , - ,2021
Wanayasa, 0 ," 7,310,765 ", - , - ,2021
Kalibening, 0 ," 7,310,765 ", - , - ,2021
Pandanarum, - , - , - , - ,2021
Susukan, 2 ," 54,270,135 ", - , - ,2022
Purwareja Klampok, 0 ," 7,519,356 ", - , - ,2022
Mandiraja, 6 ," 190,926,258 ", - , - ,2022
Purwanegara, 22 ," 707,800,253 ", - , - ,2022
Bawang, 7 ," 228,196,109 ", 1 ," 7,703,000 ",2022
Banjarnegara, 3 ," 86,309,130 ", - , - ,2022
Pagedongan, 2 ," 64,731,848 ", - , - ,2022
Sigaluh, 1 ," 38,577,566 ", - , - ,2022
Madukara, 1 ," 19,615,711 ", - , - ,2022
Banjarmangu, 0 ," 14,384,855 ", - , - ,2022
Wanadadi, 4 ," 144,829,336 ", - , - ,2022
Rakit, 20 ," 640,779,906 ", - , - ,2022
Punggelan, 0 ," 10,461,713 ", - , - ,2022
Karangkobar, 0 ," 6,538,570 ", - , - ,2022
Pagentan, 0 ," 8,173,213 ", - , - ,2022
Pejawaran, 1 ," 17,327,212 ", - , - ,2022
Batur, - , - , - , - ,2022
Wanayasa, 0 ," 6,538,570 ", - , - ,2022
Kalibening, 0 ," 6,538,570 ", - , - ,2022
Pandanarum, - , - , - , - ,2022
Susukan, 2 ," 58,193,587 ", - , - ,2023
Purwareja Klampok, 0 ," 8,062,967 ", - , - ,2023
Mandiraja, 6 ," 204,729,247 ", - , - ,2023
Purwanegara, 22 ," 758,970,582 ", - , - ,2023
Bawang, 7 ," 244,693,518 ", 1 , - ,2023
Banjarnegara, 3 ," 92,548,838 ", - , - ,2023
Pagedongan, 2 ," 69,411,628 ", - , - ,2023
Sigaluh, 1 ," 41,366,526 ", - , - ,2023
Madukara, 1 ," 21,033,827 ", - , - ,2023
Banjarmangu, 0 ," 15,424,806 ", - , - ,2023
Wanadadi, 4 ," 155,299,754 ", - , - ,2023
Rakit, 20 ," 687,105,007 ", - , - ,2023
Punggelan, 0 ," 11,218,041 ", - , - ,2023
Karangkobar, 0 ," 7,011,276 ", - , - ,2023
Pagentan, 0 ," 8,764,094 ", - , - ,2023
Pejawaran, 1 ," 18,579,880 ", - , - ,2023
Batur, - , - , - , - ,2023
Wanayasa, 0 ," 7,011,276 ", - , - ,2023
Kalibening, 0 ," 7,011,276 ", - , - ,2023
Pandanarum, - , - , - , - ,2023
Susukan, 2 ," 61,033,430 ", - , - ,2024
Purwareja Klampok, 0 ," 8,456,439 ", - , - ,2024
Mandiraja, 6 ," 214,720,019 ", - , - ,2024
Purwanegara, 22 ," 796,008,290 ", - , - ,2024
Bawang, 7 ," 256,634,543 ", 1 ," 6,425,000 ",2024
Banjarnegara, 3 ," 97,065,214 ", - , - ,2024
Pagedongan, 2 ," 72,798,911 ", - , - ,2024
Sigaluh, 1 ," 43,385,209 ", - , - ,2024
Madukara, 1 ," 22,060,276 ", - , - ,2024
Banjarmangu, 0 ," 16,177,536 ", - , - ,2024
Wanadadi, 4 ," 162,878,371 ", - , - ,2024
Rakit, 20 ," 720,635,681 ", - , - ,2024
Punggelan, 0 ," 11,765,480 ", - , - ,2024
Karangkobar, 0 ," 7,353,425 ", - , - ,2024
Pagentan, 0 ," 9,191,782 ", - , - ,2024
Pejawaran, 1 ," 19,486,577 ", - , - ,2024
Batur, - , - , - , - ,2024
Wanayasa, 0 ," 7,353,425 ", - , - ,2024
Kalibening, 0 ," 7,353,425 ", - , - ,2024
Pandanarum, - , - , - , - ,2024
